STABBR,CITY,INSTNM,SATMT25,SATVR25,ADM_RATE,SAT_AVG,GRAD_DEBT_MDN,PCIP27,COSTT4_A
AZ,Glendale,Thunderbird School of Global Management,NULL,NULL,NULL,NULL,20000,NULL,NULL
AZ,Phoenix,American Institute of Trucking,NULL,NULL,NULL,NULL,6002,0,NULL
AZ,Phoenix,Carrington College-Phoenix North,NULL,NULL,0.8451,NULL,9500,0,NULL
AZ,Mesa,Carrington College-Mesa,NULL,NULL,0.4413,NULL,9500,0,NULL
AZ,Tucson,Carrington College-Tucson,NULL,NULL,0.6748,NULL,9500,0,NULL
AZ,Flagstaff,CollegeAmerica-Flagstaff,NULL,NULL,NULL,NULL,25732,0,31236
AZ,Tucson,Arizona Academy of Beauty-East,NULL,NULL,NULL,NULL,4942.5,0,NULL
AZ,Glendale,Arizona Automotive Institute,NULL,NULL,NULL,NULL,11332,0,NULL
AZ,Phoenix,Brookline College-Phoenix,NULL,NULL,NULL,NULL,9500,0,NULL
AZ,Tempe,Arizona State University-Tempe,520,500,0.825,1147,20000,0.0101,23931
AZ,Yuma,Arizona Western College,NULL,NULL,NULL,NULL,4925,0.0117,14559
AZ,Tucson,University of Arizona,NULL,NULL,0.7862,NULL,19000,0.0145,24633
AZ,Tucson,Southwest University of Visual Arts-Tucson,NULL,NULL,NULL,NULL,51488.5,0,32254
AZ,Coolidge,Central Arizona College,NULL,NULL,NULL,NULL,8584,0,10290
AZ,Tucson,Brown Mackie College-Tucson,NULL,NULL,NULL,NULL,22999,0,NULL
AZ,Lake Havasu City,Charles of Italy Beauty College,NULL,NULL,NULL,NULL,7612,0,NULL
AZ,Sierra Vista,Cochise County Community College District,NULL,NULL,NULL,NULL,6835.5,0.0015,10165
AZ,Flagstaff,Empire Beauty School-Flagstaff,NULL,NULL,NULL,NULL,11526,0,NULL
AZ,Chandler,Empire Beauty School-Chandler,NULL,NULL,NULL,NULL,11526,0,NULL
AZ,Tucson,Cortiva Institute-Tucson,NULL,NULL,NULL,NULL,6333,0,NULL
AZ,Mesa,Avalon School of Cosmetology-Mesa,NULL,NULL,NULL,NULL,7442,0,NULL
AZ,Thatcher,Eastern Arizona College,NULL,NULL,NULL,NULL,PrivacySuppressed,0.0044,12813
AZ,Prescott,Embry-Riddle Aeronautical University-Prescott,NULL,NULL,0.7634,NULL,24250,0,48992
AZ,Scottsdale,School of Architecture at Taliesin,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
AZ,Glendale,Glendale Community College,NULL,NULL,NULL,NULL,6750,0,11400
AZ,Phoenix,Grand Canyon University,NULL,NULL,0.5694,NULL,18750,0,31156
AZ,Tempe,Olympian Academy of Cosmetology,NULL,NULL,NULL,NULL,9500,0,NULL
AZ,Phoenix,GateWay Community College,NULL,NULL,NULL,NULL,9182,0,12293
AZ,Mesa,Mesa Community College,NULL,NULL,NULL,NULL,7741.5,0,11943
AZ,Kingman,Mohave Community College,NULL,NULL,NULL,NULL,12750,0,11449
AZ,Phoenix,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,NULL,NULL,NULL,NULL,15838,0,NULL
AZ,Tsaile,Dine College,NULL,NULL,NULL,NULL,PrivacySuppressed,0.0048,13499
AZ,Flagstaff,Northern Arizona University,NULL,NULL,0.7804,NULL,19500,0.0037,25174
AZ,Holbrook,Northland Pioneer College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,11005
AZ,Phoenix,Ottawa University-Phoenix,NULL,NULL,NULL,NULL,21257,0.0112,NULL
AZ,Phoenix,Phoenix College,NULL,NULL,NULL,NULL,9521,0,11775
AZ,Scottsdale,Cortiva Institute-Scottsdale,NULL,NULL,NULL,NULL,7600,0,NULL
AZ,Tucson,Pima Community College,NULL,NULL,NULL,NULL,6500,0,8727
AZ,Tucson,Pima Medical Institute-Tucson,NULL,NULL,NULL,NULL,8708,0,NULL
NM,Albuquerque,Pima Medical Institute-Albuquerque,NULL,NULL,NULL,NULL,8708,0,NULL
AZ,Prescott,Prescott College,440,480,0.6847,1089,19208.5,0,39865
AZ,Phoenix,Refrigeration School Inc,NULL,NULL,NULL,NULL,11612,0,NULL
AZ,Tempe,Rio Salado College,NULL,NULL,NULL,NULL,7560,0,10678
AZ,Phoenix,Roberto-Venn School of Luthiery,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
AZ,Safford,Hair Academy of Safford,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
AZ,Scottsdale,Scottsdale Community College,NULL,NULL,NULL,NULL,7207,0,12375
AZ,Phoenix,South Mountain Community College,NULL,NULL,NULL,NULL,8575,0,11801
AZ,Phoenix,Arizona Christian University,450,410,0.5916,963,18850,0,36297
AZ,Tucson,Tucson College,NULL,NULL,NULL,NULL,9476,0,NULL
