STABBR,CITY,INSTNM,SATMT25,SATVR25,ADM_RATE,SAT_AVG,GRAD_DEBT_MDN,PCIP27,COSTT4_A
CT,Hamden,Paier College of Art Inc,NULL,NULL,NULL,NULL,26247.5,0,19950
CT,Stratford,Porter and Chester Institute of Stratford,NULL,NULL,NULL,NULL,12000,0,28303
CT,Waterbury,Post University,390,390,0.4071,893,27000,0,30004
CT,Danielson,Quinebaug Valley Community College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,12735
CT,Hamden,Quinnipiac University,490,490,0.7644,1096,26000,0.0089,58713
CT,Fairfield,Sacred Heart University,NULL,NULL,0.5721,NULL,25375,0.0065,54037
CT,West Hartford,University of Saint Joseph,420,440,0.876,985,27000,0,47147
CT,New Haven,Gateway Community College,NULL,NULL,NULL,NULL,4500,0,10346
CT,Bridgeport,St Vincent's College,365,345,0.7049,788,23500,0,25743
CT,New Haven,Southern Connecticut State University,410,420,0.6352,933,23000,0.0056,21029
CT,West Haven,Stone Academy-West Haven,NULL,NULL,NULL,NULL,13222.5,0,NULL
NY,New York,Tri-State College of Acupuncture,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL
CT,Hartford,Trinity College,NULL,NULL,0.3395,NULL,21500,0.017,66420
CT,Farmington,Tunxis Community College,NULL,NULL,NULL,NULL,6362,0,11510
CT,Middletown,Wesleyan University,NULL,NULL,0.1785,NULL,16875,0.0423,65443
CT,Danbury,Western Connecticut State University,NULL,NULL,0.6683,NULL,24300,0.0119,23264
CT,New Haven,Yale University,710,710,0.0632,1502,12000,0.0416,66445
DE,Lewes,Margaret H Rollins School of Nursing at Beebe Medical Center,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
DE,Wilmington,Dawn Career Institute LLC,NULL,NULL,NULL,NULL,9500,0,NULL
DE,Dover,Delaware Technical Community College-Terry,NULL,NULL,NULL,NULL,5500,0.001,11579
DE,Dover,Delaware State University,410,410,0.4065,898,28375,0.0057,21177
DE,Newark,University of Delaware,530,530,0.695,1170,24250,0.0088,24557
DE,Wilmington,Goldey-Beacom College,NULL,NULL,0.5808,NULL,21750,0,36339
DE,Newark,Schilling-Douglas School of Hair Design LLC,NULL,NULL,NULL,NULL,9833,0,NULL
DE,Dover,Wesley College,370,370,0.6047,830,30500,0.024,39189
DE,New Castle,Wilmington University,NULL,NULL,NULL,NULL,18718,0,17209
DC,Washington,American University,560,590,0.2591,1262,23250,0.0079,60501
DC,Washington,Catholic University of America,NULL,NULL,0.7955,NULL,26861,0.0025,57561
DC,Washington,University of the District of Columbia,NULL,NULL,NULL,NULL,23500,0.0016,20714
DC,Washington,Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL
DC,Washington,Gallaudet University,350,350,0.6614,827,15000,0.0283,35288
DC,Washington,George Washington University,600,580,0.4021,1301,25000,0.0109,65218
DC,Washington,Georgetown University,660,660,0.1685,1422,15494.5,0.012,66971
DC,Washington,Howard University,520,520,0.3,1142,26000,0.0039,43116
DC,Washington,Strayer University-District of Columbia,NULL,NULL,NULL,NULL,34239.5,0,29544
DC,Washington,National Conservatory of Dramatic Arts,NULL,NULL,1,NULL,PrivacySuppressed,0,24189
DC,Washington,Trinity Washington University,NULL,NULL,0.8855,NULL,31000,0.0131,31410
DC,Washington,Wesley Theological Seminary,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL
FL,Ormond Beach,Wyotech-Daytona,NULL,NULL,NULL,NULL,11600,0,NULL
FL,Fort Lauderdale,The Art Institute of Fort Lauderdale,NULL,NULL,NULL,NULL,27000,0,27394
FL,Coconut Creek,Atlantic Technical College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
FL,Graceville,The Baptist College of Florida,400,430,0.5868,910,20049,0,17117
FL,Miami,Barry University,420,430,0.6159,930,28000,0.0031,44430
FL,Daytona Beach,Bethune-Cookman University,NULL,NULL,NULL,NULL,34750,0.0056,27193
FL,Boca Raton,Lynn University,430,440,0.8173,984,17875,0,51585
FL,Starke,Bradford-Union Technical Center,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
FL,Cocoa,Eastern Florida State College,NULL,NULL,NULL,NULL,9139,0,10225
FL,Fort Lauderdale,Broward College,NULL,NULL,NULL,NULL,3500,0,13808
FL,Miami,Carlos Albizu University-Miami,NULL,NULL,0.3953,NULL,16250,0,28348
FL,Ocala,College of Central Florida,NULL,NULL,NULL,NULL,10750,0,14058
FL,Kissimmee,Johnson University Florida,400,460,0.6164,972,23250,0,21876
FL,Orlando,University of Central Florida,540,540,0.4999,1179,18130,0.0036,21168
FL,Port Charlotte,Charlotte Technical College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,16560
FL,Marianna,Chipola College,NULL,NULL,NULL,NULL,3500,0,9483
FL,Naples,Lorenzo Walker Technical College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
FL,Daytona Beach,Daytona State College,NULL,NULL,NULL,NULL,7624,0,8773
FL,Royal Palm Beach,South University-West Palm Beach,NULL,NULL,NULL,NULL,25000,0,27597
FL,Saint Petersburg,Eckerd College,500,500,0.7213,1125,26549,0.0041,55113
FL,Fort Myers,Florida SouthWestern State College,NULL,NULL,NULL,NULL,8000,0,14520
FL,Jacksonville,Edward Waters College,350,370,0.577,808,29875,0.0522,24706
FL,Daytona Beach,Embry-Riddle Aeronautical University-Daytona Beach,NULL,NULL,0.7072,NULL,24250,0.013,49338
FL,Tallahassee,Florida Agricultural and Mechanical University,440,460,0.3111,1001,28002,0.0017,20231
FL,Boca Raton,Florida Atlantic University,470,480,0.5978,1047,16800,0.0059,18992
FL,Jacksonville,Florida State College at Jacksonville,NULL,NULL,NULL,NULL,10674,0,10970
FL,Saint Augustine,Flagler College-St Augustine,470,490,0.5505,1079,23250,0,30334
FL,Temple Terrace,Florida College,460,460,0.7852,1068,15000,0,28664
FL,Jacksonville,Concorde Career Institute-Jacksonville,NULL,NULL,0.6746,NULL,9500,0,NULL
FL,Miramar,Concorde Career Institute-Miramar,NULL,NULL,0.6104,NULL,9500,0,NULL
FL,Tampa,Concorde Career Institute-Tampa,NULL,NULL,0.7306,NULL,9500,0,NULL
FL,Orlando,Adventist University of Health Sciences,390,410,0.7629,917,22500,0,23306
FL,Melbourne,Florida Institute of Technology,560,500,0.6133,1179,27000,0.0162,55984
FL,Pensacola,Florida Institute of Ultrasound Inc,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
FL,Miami,Florida International University,510,520,0.5007,1130,17250,0.0034,18873
FL,Key West,Florida Keys Community College,NULL,NULL,NULL,NULL,9500,0,14583
FL,Miami Gardens,Florida Memorial University,NULL,NULL,0.2496,NULL,39500,0,26033
FL,Miami,Florida Career College-Miami,NULL,NULL,NULL,NULL,9500,0,NULL
FL,Gainesville,Florida School of Massage,NULL,NULL,NULL,NULL,7072,0,NULL
FL,Lakeland,Florida Southern College,520,520,0.4554,1177,24880,0.0098,43984
FL,Tallahassee,Florida State University,550,560,0.5801,1214,20250,0.0111,21938
FL,Orlando,Florida Technical College,NULL,NULL,NULL,NULL,12270,0,NULL
FL,Gainesville,University of Florida,600,580,0.4594,1287,16195.5,0.0136,20571
FL,Pompano Beach,Everest University-Pompano Beach,NULL,NULL,NULL,NULL,20954,0,23787
FL,Fort Pierce,Fort Pierce Beauty Academy,NULL,NULL,NULL,NULL,2908,0,NULL
FL,Winter Park,Full Sail University,NULL,NULL,NULL,NULL,28756,0,37276
FL,Pensacola,George Stone Technical Center,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
FL,Miami,George T Baker Aviation Technical College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
FL,Panama City,Gulf Coast State College,NULL,NULL,NULL,NULL,7500,0,8178
FL,Fort Lauderdale,Key College,NULL,NULL,1,NULL,PrivacySuppressed,0,26530
FL,Tampa,Hillsborough Community College,NULL,NULL,NULL,NULL,9901,0,9491
FL,Hobe Sound,Hobe Sound Bible College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,14378
FL,Hollywood,Hollywood Institute of Beauty Careers,NULL,NULL,NULL,NULL,7666,0,NULL
FL,St. Petersburg,Cortiva Institute-Florida,NULL,NULL,NULL,NULL,7917,0,NULL
FL,Fort Pierce,Indian River State College,NULL,NULL,NULL,NULL,6332.5,0,6319
FL,Tampa,Sanford-Brown College-Tampa,NULL,NULL,NULL,NULL,30332.5,0,NULL
FL,South Daytona,International Academy,NULL,NULL,NULL,NULL,9500,0,NULL
FL,Miami,AI Miami International University of Art and Design,NULL,NULL,NULL,NULL,31000,0,27264
FL,Jacksonville,Jacksonville University,NULL,NULL,0.4918,NULL,21584.5,0.0139,50441
FL,Jacksonville,Jones College-Jacksonville,NULL,NULL,NULL,NULL,33891,0,16516
FL,Fort Lauderdale,Keiser University-Ft Lauderdale,NULL,NULL,NULL,NULL,25702,0,32307
FL,Hialeah,La Belle Beauty School,NULL,NULL,NULL,NULL,7537,0,NULL
FL,Lake City,Florida Gateway College,NULL,NULL,NULL,NULL,4500,0,9462
FL,Eustis,Lake Technical College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
FL,Leesburg,Lake-Sumter State College,NULL,NULL,NULL,NULL,7897,0,9346
FL,Fort Myers,Fort Myers Technical College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
FL,Tallahassee,Lively Technical Center,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
FL,Miami,Lindsey Hopkins Technical College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
FL,Saint Petersburg,Loraines Academy & Spa,NULL,NULL,NULL,NULL,6333,0,NULL
GA,Lithonia,Luther Rice College & Seminary,NULL,NULL,0.7647,NULL,27167,0,11064
FL,Bradenton,State College of Florida-Manatee-Sarasota,NULL,NULL,NULL,NULL,7203,0,15456
FL,Bradenton,Manatee Technical College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
FL,Lakeland,Traviss Technical College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,10977
FL,Oakland Park,Merryfield School of Pet Grooming,NULL,NULL,NULL,NULL,6333,0,NULL
FL,Miramar,Trinity International University-Florida,NULL,NULL,NULL,NULL,24475,0,NULL
FL,Miami Lakes,Miami Lakes Educational Center and Technical College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
FL,Miami,Miami Dade College,NULL,NULL,NULL,NULL,8750,0,13284
FL,Coral Gables,University of Miami,610,600,0.3771,1323,19000,0.0123,59833
FL,Orlando,Orange Technical College-Mid Florida Campus,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
FL,Miami,Beauty Schools of America-Miami,NULL,NULL,NULL,NULL,9500,0,NULL
FL,West Palm Beach,Lincoln College of Technology-West Palm Beach,NULL,NULL,NULL,NULL,10572,0,26482
FL,Jacksonville,Paul Mitchell the School-Jacksonville,NULL,NULL,NULL,NULL,11667,0,NULL
FL,Madison,North Florida Community College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,9545
FL,Jacksonville,University of North Florida,520,520,0.6453,1110,15947,0.0069,20926
FL,Fort Lauderdale,Nova Southeastern University,500,500,0.5254,1127,25000,0,43351
FL,Niceville,Northwest Florida State College,NULL,NULL,NULL,NULL,4500,0,12237
FL,Orlando,Everest University-North Orlando,NULL,NULL,NULL,NULL,20954,0,24172
FL,Orlando,Orange Technical College-Orlando Campus,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
FL,West Palm Beach,Palm Beach Atlantic University,460,470,0.9337,1076,22250,0.004,40568
FL,Lake Worth,Palm Beach State College,NULL,NULL,NULL,NULL,5475,0,9513
FL,New Port Richey,Pasco-Hernando State College,NULL,NULL,NULL,NULL,7812,0,10639
FL,Pensacola,Pensacola State College,NULL,NULL,NULL,NULL,3500,0,10062
FL,Clearwater,Pinellas Technical College-Clearwater,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
FL,Winter Haven,Polk State College,NULL,NULL,NULL,NULL,10500,0,12943
FL,Milton,Radford M Locklin Technical Center,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
FL,Boynton Beach,Saint Vincent de Paul Regional Seminary,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL
FL,Winter Haven,Ridge Technical College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,25930
FL,Sarasota,Ringling College of Art and Design,NULL,NULL,0.7814,NULL,27000,0,58729
FL,Jacksonville,Toni & Guy Hairdressing Academy-Jacksonville,NULL,NULL,NULL,NULL,11715.5,0,NULL
FL,Miami,Robert Morgan Educational Center and Technical College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
FL,Winter Park,Rollins College,NULL,NULL,0.6062,NULL,25251,0.019,62760
FL,Saint Augustine,First Coast Technical College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
FL,Saint Leo,Saint Leo University,450,450,0.6974,1032,24750,0.0017,35092
FL,Clearwater,St Petersburg College,NULL,NULL,NULL,NULL,15474,0,11947
FL,Saint Petersburg,Pinellas Technical College-St. Petersburg,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
FL,Gainesville,Santa Fe College,NULL,NULL,NULL,NULL,10700,0,12505
FL,Sarasota,Suncoast Technical College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
FL,Sarasota,Argosy University-Sarasota,NULL,NULL,NULL,NULL,30481,0,24928
FL,Sanford,Seminole State College of Florida,NULL,NULL,NULL,NULL,9342,0,12992
FL,Hollywood,Sheridan Technical College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
FL,Miami,Saint John Vianney College Seminary,NULL,NULL,1,NULL,PrivacySuppressed,0,37300
FL,Palatka,Saint Johns River State College,NULL,NULL,NULL,NULL,11050,0,11437
FL,Avon Park,South Florida State College,NULL,NULL,NULL,NULL,4711,0,9965
FL,Tampa,University of South Florida-Main Campus,540,530,0.4663,1172,18750,0.0074,19652
FL,Miami Gardens,St Thomas University,420,420,0.5413,930,21575,0.0038,37714
FL,DeLand,Stetson University,NULL,NULL,0.656,NULL,27000,0.0083,56208
FL,Lakeland,Southeastern University,410,430,0.4585,978,22500,0.0082,33954
FL,New Port Richey,Bene's Career Academy,NULL,NULL,NULL,NULL,7800,0,NULL
FL,Live Oak,RIVEROAK Technical College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
FL,Tallahassee,Tallahassee Community College,NULL,NULL,NULL,NULL,8384,0,8761
FL,Miami Beach,Talmudic College of Florida,NULL,NULL,NULL,NULL,PrivacySuppressed,0,26650
FL,Tampa,Altierus Career College-Tampa,NULL,NULL,NULL,NULL,20954,0,24500
FL,Tampa,The University of Tampa,500,490,0.483,1097,24400,0.0041,40897
FL,Perry,Big Bend Technical College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
FL,Panama City,Tom P Haney Technical Center,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
FL,Jacksonville,Trinity Baptist College,380,378,0.6476,874,19623,0,20433
FL,Trinity,Trinity College of Florida,350,360,0.7067,827,24826.5,0,25373
FL,Sarasota,Fashion Focus Hair Academy,NULL,NULL,NULL,NULL,9833,0,NULL
FL,Orlando,Valencia College,NULL,NULL,NULL,NULL,8000,0,10910
FL,Lake Wales,Warner University,400,402,0.4359,888,23750,0,31411
FL,Chipley,Florida Panhandle Technical College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
FL,Babson Park,Webber International University,412,410,0.4972,897,24750,0,39199
FL,Ocala,Rasmussen College-Florida,NULL,NULL,NULL,NULL,18254,0,21516
FL,Pensacola,The University of West Florida,470,480,0.4083,1070,17750,0.0078,17219
FL,Winter Garden,Orange Technical College-Westside Campus,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
FL,Davie,William T McFatter Technical College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
FL,Winter Park,Orange Technical College-Winter Park Campus,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
FL,Inverness,Withlacoochee Technical College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
GA,Tifton,Abraham Baldwin Agricultural College,410,410,0.6561,932,14681.5,0,13171
GA,Decatur,Agnes Scott College,NULL,NULL,0.6469,NULL,27000,0.016,49404
GA,Chamblee,Interactive College of Technology-Chamblee,NULL,NULL,NULL,NULL,8591,0,17860
GA,Morrow,Interactive College of Technology-Morrow,NULL,NULL,NULL,NULL,8591,0,17219
GA,Albany,Albany Technical College,NULL,NULL,NULL,NULL,9046,0,7841
GA,Albany,Darton State College,NULL,NULL,NULL,NULL,15000,0,13311
GA,Albany,Albany State University,410,430,0.4967,899,32000,0.0201,19126
GA,Cuthbert,Andrew College,NULL,NULL,1,NULL,12000,0.0893,29406
GA,Savannah,Armstrong State University,440,450,0.8038,987,21791,0.0036,25433
GA,Atlanta,The Art Institute of Atlanta,NULL,NULL,NULL,NULL,30982,0,29448
GA,Conyers,Georgia Career Institute,NULL,NULL,NULL,NULL,7917,0,NULL
GA,Atlanta,Atlanta Technical College,NULL,NULL,NULL,NULL,11967,0,9367
GA,West Point,Point University,410,400,0.5144,922,26000,0,28898
GA,Atlanta,Atlanta Metropolitan State College,NULL,NULL,NULL,NULL,8750,0,10302
GA,Atlanta,Atlanta's John Marshall Law School,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL
GA,Atlanta,Atlanta School of Massage,NULL,NULL,NULL,NULL,7917,0,NULL
GA,Atlanta,Clark Atlanta University,400,420,0.7184,914,31000,0.0042,36988
GA,Augusta,Augusta Technical College,NULL,NULL,NULL,NULL,4000,0,15014
GA,Bainbridge,Bainbridge State College,NULL,NULL,NULL,NULL,15300.5,0,8615
GA,Mount Berry,Berry College,530,530,0.6209,1183,24093.5,0.026,45873
GA,Atlanta,Beulah Heights University,NULL,NULL,NULL,NULL,PrivacySuppressed,0,18230
GA,Gainesville,Brenau University,420,440,0.3565,973,27000,0,40016
GA,Mount Vernon,Brewton-Parker College,NULL,NULL,NULL,NULL,27000,0,29446
GA,Atlanta,Brown College of Court Reporting,NULL,NULL,0.7895,NULL,PrivacySuppressed,0,33979
GA,Brunswick,College of Coastal Georgia,390,410,0.9521,896,17500,0.007,15763
GA,Waco,West Georgia Technical College,NULL,NULL,NULL,NULL,9000,0,9904
GA,Atlanta,Carver Bible College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,21156
GA,Morrow,Clayton  State University,NULL,NULL,0.4092,NULL,28000,0.0072,17241
GA,Decatur,Columbia Theological Seminary,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL
GA,Columbus,Columbus Technical College,NULL,NULL,NULL,NULL,5216,0,14080
GA,Columbus,Columbus State University,430,430,0.5316,963,25768,0.0096,18465
GA,Rome,Georgia Northwestern Technical College,NULL,NULL,NULL,NULL,4804,0,9234
GA,Lookout Mountain,Covenant College,510,540,0.9624,1191,22199.5,0.0169,42998
GA,Dalton,Dalton State College,NULL,NULL,NULL,NULL,15000,0.0155,12499
GA,Stone Mountain,Pro Way Hair School,NULL,NULL,NULL,NULL,13250,0,NULL
GA,Savannah,South University-Savannah,NULL,NULL,NULL,NULL,25000,0,27766
GA,Swainsboro,East Georgia State College,NULL,NULL,NULL,NULL,12000,0,9436
GA,Franklin Springs,Emmanuel College,420,410,0.4055,943,25500,0.0376,28192
GA,Atlanta,Emory University,660,630,0.2529,1397,19250,0.0316,63058
GA,Rome,Georgia Highlands College,NULL,NULL,NULL,NULL,8250,0,10550
GA,Fort Valley,Fort Valley State University,390,380,0.2645,855,35980,0.014,19486
GA,Atlanta,Grady Health System Professional Schools,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
GA,Atlanta,Georgia Institute of Technology-Main Campus,680,640,0.2577,1417,23750,0.0085,25616
GA,Americus,Georgia Southwestern State University,430,440,0.6818,975,19444.5,0.0046,19297
GA,Milledgeville,Georgia College & State University,510,520,0.8452,1116,22000,0.0141,26856
GA,Statesboro,Georgia Southern University,510,520,0.6455,1110,23250,0.0066,22417
GA,Atlanta,Georgia State University,470,490,0.5884,1070,22206.5,0.0073,24223
GA,Athens,University of Georgia,570,570,0.539,1262,18750,0.0122,24991
GA,Barnesville,Gordon State College,370,380,0.5433,853,17761,0.0016,18449
GA,Griffin,Southern Crescent Technical College,NULL,NULL,NULL,NULL,3169,0,13773
GA,Decatur,Gupton Jones College of Funeral Service,NULL,NULL,NULL,NULL,16042,0,21109
GA,Lilburn,Gwinnett College-Lilburn,NULL,NULL,NULL,NULL,11416,0,26819
GA,Lawrenceville,Gwinnett Technical College,NULL,NULL,NULL,NULL,11499,0,12444
GA,Atlanta,Interdenominational Theological Center,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL
GA,Lagrange,LaGrange College,460,470,0.5772,1021,26000,0.022,42255
GA,Oakwood,Lanier Technical College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,11318
GA,Marietta,Life University,410,420,0.9214,927,10000,0,34353
GA,Marietta,Chattahoochee Technical College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,9186
GA,Atlanta,Herzing University-Atlanta,NULL,NULL,0.9606,NULL,23139.5,0,28209
GA,Macon,Mercer University,550,550,0.6935,1211,25500,0.0065,48766
GA,Atlanta,Morehouse College,430,430,0.6607,994,26000,0.0701,47860
GA,Atlanta,Morehouse School of Medicine,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL
GA,Clarkesville,North Georgia Technical College,NULL,NULL,NULL,NULL,10500,0,12401
GA,Atlanta,Oglethorpe University,500,520,0.804,1125,27000,0.0053,48302
GA,Augusta,Paine College,300,320,0.2458,745,35000,0.0238,24239
GA,Demorest,Piedmont College,430,430,0.5715,991,24173,0.0108,33659
GA,Atlanta,Miami Ad School at Portfolio Center,NULL,NULL,NULL,NULL,27000,0,NULL
GA,Waleska,Reinhardt University,430,420,0.8745,965,22732,0.0174,31939
GA,Savannah,Savannah Technical College,NULL,NULL,NULL,NULL,3500,0,10134
GA,Savannah,Savannah College of Art and Design,460,490,0.7171,1086,26374.5,0,53657
GA,Savannah,Savannah State University,370,380,0.5078,823,32000,0.0269,16542
GA,Rome,Shorter University,410,420,0.6115,961,27000,0.0027,33083
GA,Americus,South Georgia Technical College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,11793
GA,Atlanta,The Creative Circus,NULL,NULL,NULL,NULL,22038.5,0,27104
GA,Atlanta,Spelman College,480,500,0.3573,1092,27000,0.0194,44933
GA,Thomasville,Thomas University,NULL,NULL,0.4736,NULL,22250,0,28432
GA,Toccoa Falls,Toccoa Falls College,410,420,0.5414,962,24608,0,33616
GA,Cleveland,Truett McConnell University,430,430,0.9061,953,25674,0,29321
GA,Valdosta,Wiregrass Georgia Technical College,NULL,NULL,NULL,NULL,2000,0,8765
GA,Valdosta,Valdosta State University,440,450,0.6513,982,25000,0.0066,21191
GA,Macon,Wesleyan College,450,480,0.3765,1035,25800,0.037,31983
GA,Carrollton,University of West Georgia,430,440,0.5909,945,25000,0.0059,21242
GA,Young Harris,Young Harris College,440,440,0.5504,1004,26400,0.0114,40161
HI,Honolulu,Chaminade University of Honolulu,440,430,0.9133,976,21500,0,33824
HI,Hilo,University of Hawaii at Hilo,440,420,0.691,978,19834.5,0.0093,19087
HI,Honolulu,University of Hawaii at Manoa,490,480,0.8498,1075,19000,0.0085,22153
HI,Honolulu,Hawaii Institute of Hair Design,NULL,NULL,NULL,NULL,7000,0,NULL
HI,Honolulu,Hawaii Pacific University,NULL,NULL,0.7537,NULL,23250,0.0117,38052
HI,Honolulu,Honolulu Community College,NULL,NULL,NULL,NULL,8000,0,10082
HI,Honolulu,Kapiolani Community College,NULL,NULL,NULL,NULL,10500,0,10458
HI,Lihue,Kauai Community College,NULL,NULL,NULL,NULL,9625,0,12774
HI,Pearl City,Leeward Community College,NULL,NULL,NULL,NULL,7750,0,8054
HI,Kahului,University of Hawaii Maui College,NULL,NULL,NULL,NULL,14507,0,13256
HI,Honolulu,Med-Assist School of Hawaii Inc,NULL,NULL,NULL,NULL,7128,0,NULL
HI,Honolulu,World Medicine Institute,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL
HI,Honolulu,Travel Institute of the Pacific,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
HI,Kapolei,University of Hawaii-West Oahu,NULL,NULL,0.6806,NULL,14544,0,14526
HI,Kaneohe,Windward Community College,NULL,NULL,NULL,NULL,9500,0,13791
ID,Boise,Carrington College-Boise,NULL,NULL,0.5882,NULL,9500,0,NULL
ID,Boise,Boise Bible College,420,500,0.9,1009,21290,0,25973
ID,Boise,Boise State University,455,460,0.8173,1047,22750,0.0061,18298
ID,Idaho Falls,College of Eastern Idaho,NULL,NULL,NULL,NULL,9500,0,17322
ID,Pocatello,Idaho State University,NULL,NULL,NULL,NULL,22674,0.0022,19526
ID,Moscow,University of Idaho,460,470,0.7589,1070,24500,0.0173,20045
ID,Caldwell,The College of Idaho,NULL,NULL,0.8482,NULL,25672.5,0.0649,38600
ID,Lewiston,Lewis-Clark State College,410,410,0.9715,937,19061,0.0044,15475
ID,Twin Falls,Aveda Institute-Twin Falls,NULL,NULL,NULL,NULL,12125,0,NULL
ID,Moscow,Mr Leon's School of Hair Design-Moscow,NULL,NULL,NULL,NULL,16000,0,NULL
ID,Coeur d'Alene,North Idaho College,NULL,NULL,NULL,NULL,9214,0.0009,11074
ID,Nampa,Northwest Nazarene University,490,510,0.9528,1113,24513,0.0059,37621
ID,Chubbuck,Elevate Salon Institute-Chubbuck,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
ID,Rexburg,Brigham Young University-Idaho,450,450,0.9583,1036,11000,0.0031,12011
ID,Twin Falls,College of Southern Idaho,NULL,NULL,NULL,NULL,8613,0.0009,11302
IL,Chicago,Adler University,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL
IL,Chicago,American Academy of Art,NULL,NULL,NULL,NULL,29771,0,37439
IL,Chicago,School of the Art Institute of Chicago,490,530,0.5932,1127,26980,0,59698
IL,Rock Island,Augustana College,NULL,NULL,0.5162,NULL,27000,0.0165,50400
IL,Aurora,Aurora University,430,420,0.8772,1005,22000,0.0122,32930
IL,Urbana,Tricoci University of Beauty Culture-Urbana,NULL,NULL,NULL,NULL,9500,0,NULL
IL,Belleville,Southwestern Illinois College,NULL,NULL,NULL,NULL,6500,0,11127
IN,Richmond,Bethany Theological Seminary,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL
IL,Moline,Black Hawk College,NULL,NULL,NULL,NULL,5525,0,11098
IL,Carlinville,Blackburn College,370,420,0.5385,968,24014,0,27769
IL,Quincy,Blessing Rieman College of Nursing and Health Sciences,NULL,NULL,NULL,NULL,15000,0,NULL
IL,Quincy,Blessing Hospital School of Radiologic Technology,NULL,NULL,NULL,NULL,15000,0,NULL
IL,Peoria,Bradley University,480,480,0.6981,1141,27000,0.0082,44130
IL,Bourbonnais,Paul Mitchell the School-Bradley,NULL,NULL,NULL,NULL,9833,0,NULL
IL,Oak Lawn,Cameo Beauty Academy,NULL,NULL,NULL,NULL,11899.5,0,NULL
IL,Villa Park,Cannella School of Hair Design-Villa Park,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
IL,Chicago,Cannella School of Hair Design-Chicago,NULL,NULL,NULL,NULL,5175,0,NULL
IL,Chicago,Cannella School of Hair Design-Chicago,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
IL,Elgin,Cannella School of Hair Design-Elgin,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
IL,Hanover Park,Empire Beauty School-Hanover Park,NULL,NULL,NULL,NULL,11709,0,NULL
